id,employment,age
8111,559,43.8
8113,7762,39.3
8115,1707,49.2
8117,24636,36.4
8119,10589,47
8121,2932,44.2
8123,107640,33.1
8125,6314,38.5
9000,2153330,40
9001,584138,39.5
9003,612119,39.9
9005,96610,44.4
9007,94912,43.1
9009,483962,39.3
9011,170146,40.4
9013,60999,38.3
9015,50444,39.2
10000,522010,38.8
10001,80987,36.6
10003,349601,37.2
10005,91422,45.4
11000,789623,33.8
11001,789623,33.8
12000,9774569,40.7
12001,156742,30.1
12003,8508,36
12005,95449,39.5
12007,10366,39.5
12009,269985,45.5
12011,956461,39.7
12013,4457,39.7
12015,62501,55.9
12017,47714,54
12019,56409,38
12021,182588,46.9
12023,25351,39.9
12027,14114,38.1
12029,4304,45.4
12031,609096,35.8
12033,176496,37.6
12035,20318,47.5
12037,5885,42.4
12039,19148,38.9
12041,5200,40.6
12043,3813,43.1
12045,5632,42.7
12047,4701,38.1
12049,12258,32.8
12051,19672,32.8
12053,53411,47.7
12055,38994,51.5
12057,776198,36.1
12059,6918,41.3
12061,65123,49.1
12063,19130,40.5
12065,5094,44.1
12067,2449,36.2
12069,107785,45.6
12071,278686,45.6
12073,176994,29.6
12075,13307,45
12077,2898,37
12079,7311,40.2
12081,161796,45.7
12083,129200,47.3
12085,81794,49.7
12086,1355984,38.2
12087,55760,46.4
12089,24927,42.9
12091,125216,38.3
12093,13042,38.6
12095,787077,33.7
12097,78828,35.6
12099,738472,43.5
12101,118290,43.6
12103,579722,46.3
12105,253985,39.8
12107,22722,43.4
12109,63457,42.2
12111,92935,42.4
12113,46253,39.2
12115,214563,52.5
12117,210906,38.2
12119,17199,62.7
12121,14619,42.2
12123,8519,41.1
12125,5172,39.1
12127,204261,45.3
12129,7619,38.8
12131,22204,42.1
12133,8581,40.3
13000,5074434,35.3
13001,8505,38.1
13003,2891,33.4
13005,5118,36.9
13007,1302,41.6
13009,25025,34.1
13011,7394,38.4
13013,21783,33.6
13015,48097,36.2
13017,10695,37.1
13019,7564,38
13021,109899,35.6
13023,5682,35.9
13025,3917,37.8
13027,4822,40.3
13029,8578,35.7
13031,29675,25.9
13033,8810,35.9
13035,8865,38.1
13037,2390,38.7
13039,22945,31.3
13043,4966,37.6
13045,46023,33.5
13047,24177,38.3
13049,3508,38.2
13051,166399,34
13053,16687,24
13055,10167,39.3
13057,62271,36.3
13059,78860,25.9
13061,1240,45.8
13063,135883,31.6
13065,3077,36.8
13067,405099,35.4
13069,22784,34.8
13071,19500,34.8
13073,39628,36.8
13075,6361,36.4
13077,43335,36.6
13079,3797,41.5
13081,11594,38.1
13083,5759,39
13085,9372,40.6
13087,14166,37.7
13089,421361,34.3
13091,8619,38.5
13093,4940,40
13095,62103,33.2
13097,48525,35
13099,6526,39.3
13101,1646,31.4
13103,12411,35.1
13105,10056,41.1
13107,10922,36.8
13109,6355,35.9
13111,9686,48.3
13113,57796,42.4
13115,53323,37.6
13117,50747,36.9
13119,12594,40.9
13121,895415,34.2
13123,12553,43.4
13125,950,39.3
13127,47015,39.4
13129,27088,36
13131,9953,37.8
13133,7399,46.4
13135,372113,33.7
13137,19592,38.6
13139,87451,34.5
13141,2421,43
13143,9955,38.5
13145,9067,42
13147,10305,42.6
13149,3570,39.1
13151,59341,35.3
13153,70248,34.5
13155,3666,38.8
13157,22223,37.1
13159,4314,39
13161,6518,36
13163,7758,38.8
13165,3719,38.2
13167,2995,40.4
13169,5837,38.7
13171,5396,37.7
13173,2158,33.4
13175,26630,38
13177,7042,36
13179,36325,27.9
13181,2826,45
13183,1673,30.6
13185,61583,29.9
13187,9982,36.1
13189,10808,38.4
13191,3979,44.4
13193,5641,38.2
13195,7791,39.4
13197,2769,40.8
13199,8130,41
13201,2718,41.7
13205,10750,37.1
13207,7609,41.3
13209,2997,37
13211,9505,41.3
13213,15023,36.2
13215,120363,33.5
13217,23999,34.7
13219,11429,39.1
13221,3066,40.1
13223,31924,33.8
13225,10032,33.3
13227,10070,42.1
13229,6599,38.4
13231,4734,38.5
13233,15425,36.2
13235,4426,41.1
13237,9391,43.5
13239,699,46.4
13241,8642,45.8
13243,3506,42.8
13245,136714,33.2
13247,43967,36.9
13249,1761,37.1
13251,5758,39.5
13253,3868,43.7
13255,30341,37.2
13257,12671,40.7
13259,1577,37.3
13261,17234,33.8
13263,1626,45.6
13265,503,45.9
13267,9003,36.6
13269,3001,39.7
13271,5590,39.2
13273,3723,39.6
13275,27449,39.6
13277,25396,34.5
13279,15071,36
13281,5466,51.1
13283,2016,36.8
13285,38845,36.3
13287,4085,38.7
13289,2453,45
13291,9593,50.7
13293,10491,40.3
13295,20233,39.7
13297,22347,37.4
13299,20981,38.4
13301,2176,42.9
13303,10591,38.9
13305,12169,37.6
13307,764,40.6
13309,2011,37.9
13311,10467,42.3
13313,73671,34
13315,2635,39.7
13317,4849,43.4
13319,3811,41.1
13321,6201,39.7
15000,812664,38.6
15001,89627,40.9
15003,588279,37.8
15005,0,55.3
15007,40825,41.3
15009,93933,39.6
16000,841031,34.6
16001,248327,34.8
16003,2298,50
16005,45958,31.4
16007,2988,40.5
16009,5139,44.8
16011,20656,31.8
16013,20281,40.4
16015,2606,48.4
16017,22487,45.8
16019,58753,31.7
16021,5484,42.8
16023,5975,41.7
16025,687,44.3
16027,71549,31.6
16029,4767,37.7
16031,12554,32
16033,902,32.7
16035,4856,49
16037,2690,48
16039,14347,30
16041,5235,31.5
16043,5020,33.5
16045,5926,42.9
16047,8014,34.3
16049,8046,48
16051,9337,30
16053,10355,31.7
16055,68320,38.9
16057,21232,28.3
16059,4598,49.7
16061,2168,48
16063,2253,32
16065,16882,22.6
16067,10021,35.3
16069,26330,40.8
16071,1946,39.1
16073,4140,36
16075,9111,37.2
16077,4451,33.2
16079,5841,46.2
16081,3547,33.2
16083,43921,34.4
16085,6262,46.9
16087,4771,43.6
17000,7335888,36.6
17001,43803,40.7
17003,2833,41.1
17005,7607,39.7
17007,18558,36.8
17009,3789,37.3
17011,18961,42.5
17013,2025,44.6
17015,7645,46.5
17017,8190,38.7
17019,126039,28.9
17021,16621,41.6
17023,8041,42.3
17025,8583,42.2
17027,18329,39.3
17029,33152,31.6
17031,3258693,35.3
17033,10609,41.7
17035,4669,40.9
17037,49496,29.3
17039,7702,41.7
17041,12186,38.7
17043,706171,38.2
17045,9563,43.2
17047,4954,42.7
17049,26332,39.2
17051,10054,39.9
17053,7783,42.4
17055,15215,41.8
17057,13905,41.9
17059,2334,44.4
17061,5601,41.6
17063,21535,36.1
17065,3347,43.1
17067,9485,44.6
17069,1867,46.3
17071,2751,47.2
17073,22730,41.8
17075,14644,43.4
17077,37767,29.1
17079,4427,42.7
17081,24708,40.6
17083,8423,40.5
17085,13406,47.1
17087,4404,42.2
17089,256013,34.5
17091,53106,36.7
17093,25011,32.9
17095,28794,42
17097,431860,36.7
17099,56913,41
17101,6964,39.7
17103,18344,42
17105,20339,40.8
17107,13955,39.4
17109,17521,28.9
17111,121894,38
17113,108576,32.1
17115,66301,40.3
17117,18585,41.7
17119,125054,38.6
17121,17830,41.4
17123,5812,44.8
17125,6120,44
17127,6607,42.1
17129,4116,42.6
17131,5924,43.7
17133,12153,41
17135,14494,41.9
17137,20049,40.8
17139,6515,40.3
17141,24437,40.7
17143,122099,36.8
17145,9156,39.4
17147,5881,42.6
17149,7349,42.5
17151,1263,46.6
17153,2775,43.2
17155,2658,45.2
17157,15293,41
17159,9068,42.1
17161,94846,40
17163,124268,36.9
17165,12862,41.7
17167,131751,39.2
17169,3330,43.6
17171,2255,42.7
17173,8759,43.5
17175,2223,43.8
17177,27483,43.1
17179,72468,39.8
17181,7649,42.9
17183,40882,39.8
17185,5813,42
17187,8467,39.6
17189,8214,42.3
17191,7532,42.9
17193,7648,45.2
17195,28632,41.8
17197,211748,35.4
17199,33151,40.1
17201,171085,38.3
17203,17056,39.6
18000,3632908,37
18001,23301,34
18003,225932,35.3
18005,51357,38.2
18007,4510,40.1
18009,5950,42.4
18011,29282,38.6
18013,6903,46.7
18015,10468,40.9
18017,20726,38.7
18019,57131,37.9
18021,12707,39.9
18023,15040,37.5
18025,4323,41.8
18027,16537,35.4
18029,22685,40
18031,16349,38.7
18033,28997,38.1
18035,64483,34.8
18037,34580,39.9
18039,152041,34.9
18041,11933,40.8
18043,39367,39.1
18045,7962,41.6
18047,7368,40
18049,10714,40.3
18051,20356,39.9
18053,35685,39.5
18055,12285,41.1
18057,138762,35.6
18059,34609,39.1
18061,17655,40.2
18063,61690,36.7
18065,20264,41.4
18067,52869,40.7
18069,20753,39
18071,26568,38.7
18073,16572,38
18075,10937,39
18077,18263,39.7
18079,11517,38.4
18081,62927,36.8
18083,21793,38.5
18085,44575,37.7
18087,17993,30.4
18089,242409,37.4
18091,58902,39.6
18093,20983,41.6
18095,56396,39.2
18097,667617,33.9
18099,24801,38.4
18101,8174,41.8
18103,15013,39.5
18105,81517,27.7
18107,21748,39.4
18109,21082,39.9
18111,5521,42.4
18113,26344,37.1
18115,2619,43.7
18117,8381,40.8
18119,7172,42.4
18121,5663,41.3
18123,8896,40.4
18125,4387,42.8
18127,70926,38.4
18129,12633,41.6
18131,6856,41.7
18133,16984,37.9
18135,10937,40.8
18137,17121,39.2
18139,7901,40.6
18141,156744,36.2
18143,9550,39.3
18145,22978,39.9
18147,10465,41.9
18149,6277,40.4
18151,19800,40.2
18153,8108,39.8
18155,3722,39.1
18157,96059,27.7
18159,6299,42.6
18161,2832,40.3
18163,126699,37.5
18165,6636,41.9
18167,63402,36.1
18169,19282,41.2
18171,2901,42.4
18173,20808,39.7
18175,10241,39.2
18177,43068,40.2
18179,15027,40.2
18181,10437,41.9
18183,13871,40.1
19000,1941257,38.1
19001,5640,45.3
19003,2700,46.7
19005,9326,44
19007,7841,44.2
19009,4012,47
19011,11517,40.9
19013,88478,34.4
19015,14030,40.8
19017,14032,39.3
19019,10137,39
19021,13946,37.1
19023,6960,43.8
19025,5785,47.8
19027,17008,42.3
19029,9079,45.1
19031,9527,42.4
19033,34189,43.3
19035,8204,47
19037,7166,43.7
19039,6458,40.2
19041,12161,42.5
19043,11283,45
19045,29445,41.4
19047,11017,38.4
19049,27978,34.3
19051,4308,38.6
19053,4462,38.2
19055,10502,42.1
19057,27634,41.5
19059,13421,48.1
19061,64273,38.6
19063,6530,41
19065,11739,43.2
19067,8812,43.3
19069,6541,42.8
19071,5080,45.1
19073,5624,45.6
19075,6347,43
19077,5255,44.8
19079,11170,42.3
19081,10861,44.8
19083,10668,43.7
19085,6896,42.9
19087,14246,40.2
19089,6994,42.1
19091,6621,44.3
19093,5296,44.8
19095,13643,42.4
19097,10708,44
19099,19556,41.6
19101,11753,43.5
19103,97279,29.3
19105,9606,42.7
19107,5076,43.8
19109,10708,46.6
19111,21587,42.6
19113,142465,36.5
19115,5817,39.8
19117,5496,44.1
19119,6372,38.7
19121,6794,39.8
19123,12223,38.9
19125,22649,38.6
19127,23913,39.6
19129,6212,41.2
19131,5921,44
19133,5505,47.5
19135,4506,42.1
19137,7131,44.6
19139,27676,38.2
19141,9221,43.6
19143,3659,43.5
19145,9116,43.7
19147,5296,43.9
19149,15630,41.2
19151,4337,47.6
19153,319946,34.7
19155,48121,38.5
19157,13563,41
19159,2958,45.6
19161,5896,46.6
19163,107466,37.7
19165,7226,45.4
19167,23825,32.7
19169,55802,26.7
19171,8875,41.8
19173,3221,44.6
19175,8110,40.9
19177,3569,43.3
19179,21488,39.8
19181,15016,38.3
19183,10203,41.6
19185,3329,45.3
19187,24651,40
19189,6825,43.5
19191,16109,39.4
19193,62654,35.1
19195,3363,43.8
19197,7987,44.4
20000,1781741,36
20001,9314,40.8
20003,4338,42.1
20005,10617,36.3
20007,3443,45.8
20009,19704,39.7
20011,9975,38.2
20013,7255,41.9
20015,28867,37.2
20017,2888,45.6
20019,2510,48.2
20021,12045,40.5
20023,1875,50
20025,1733,44.9
20027,6489,43.3
20029,6041,42.2
20031,6233,43
20033,1270,47.4
20035,20806,38.5
20037,21292,32.6
20039,2154,51.4
20041,9875,41.4
20043,3959,39.6
20045,65945,28.4
20047,1992,44.8
20049,1716,48.8
20051,22917,32.2
20053,4017,44.3
20055,23004,30.2
20057,20434,30.4
20059,14447,38.1
20061,25962,27.7
20063,2288,48.3
20065,2763,49.4
20067,5064,32.8
20069,4081,34.7
20071,1200,46.6
20073,3131,46.7
20075,1728,33.5
20077,4250,44.1
20079,23896,38.9
20081,2324,34.3
20083,1306,46.1
20085,9611,40.7
20087,6101,42.6
20089,2420,52.5
20091,384818,36.4
20093,1971,35.5
20095,5293,44.5
20097,2094,41.9
20099,14417,40.5
20101,1449,46.1
20103,35221,37.4
20105,2136,46.4
20107,4057,44.8
20109,2197,44.9
20111,22107,32.5
20113,22909,41.4
20115,6135,44.6
20117,7730,45.2
20119,2662,38.8
20121,11843,39.5
20123,4960,45.6
20125,21102,39.9
20127,2554,47.2
20129,2053,38.9
20131,6774,42.5
20133,11221,40.2
20135,2641,48.2
20137,3771,43.5
20139,5292,42.8
20141,2878,48.2
20143,2756,42.7
20145,5032,43.2
20147,4495,45.3
20149,14695,34.8
20151,6478,40.9
20153,2811,51.3
20155,36650,39.9
20157,3719,50.6
20159,4862,39.3
20161,33507,24.3
20163,3128,44.1
20165,2316,48.7
20167,3785,46.5
20169,39212,37.8
20171,3373,41.4
20173,306063,34.2
20175,14771,28.9
20177,117931,38.1
20179,1872,46.9
20181,4242,42.1
20183,2707,49.6
20185,2606,45.6
20187,1531,35.6
20189,3343,34.4
20191,9765,40.5
20193,5538,36.6
20195,1855,49.3
20197,2705,42.6
20199,1181,45.4
20201,3551,46.4
20203,1775,40.3
20205,5739,43.1
20207,1481,48.2
20209,92701,32.8
21000,2340169,38.1
21001,8008,39
21003,8034,39.2
21005,7461,38.4
21007,4615,42.4
21009,27031,39.7
21011,3947,39.9
21013,12073,41
21015,90190,35.7
21017,10485,40.7
21019,33752,41.8
21021,20734,40.6
21023,3229,39.2
21025,4818,40
21027,7229,41.6
21029,22657,38.2
21031,4924,40.1
21033,6514,42.6
21035,21671,34
21037,38582,37
21039,1993,42.9
21041,8630,37.6
21043,10251,39.3
21045,7229,40.6
21047,63028,28.9
21049,21427,39.8
21051,6291,37.7
21053,5254,41.6
21055,3774,42.6
21057,3057,43.8
21059,54675,38.8
21061,3174,41.3
21063,1660,39.9
21065,4038,41.3
21067,205726,33.7
21069,6658,40.1
21071,15634,39.9
21073,39857,39.8
21075,3892,42.8
21077,3149,37.4
21079,5627,41.2
21081,8596,35.3
21083,17955,39.8
21085,12525,39.7
21087,4646,42.6
21089,12756,42
21091,5869,39.5
21093,63839,35
21095,10198,40.5
21097,8491,40.7
21099,7613,40.1
21101,24482,39.8
21103,7068,40.6
21105,1783,44.8
21107,23094,40.4
21109,5115,39.5
21111,514610,37.9
21113,21161,35.8
21115,8664,40.4
21117,74071,36
21119,5165,40.5
21121,13835,38.5
21123,5606,40.2
21125,29438,38.4
21127,4663,40.1
21129,2744,40.9
21131,2936,41.1
21133,7854,40.9
21135,4486,40.3
21137,7808,39.5
21139,3853,44.9
21141,13316,40.2
21143,3187,47.9
21145,47252,41.8
21147,4734,37.9
21149,3233,41.5
21151,39531,33.7
21153,3693,39.1
21155,9713,37.8
21157,15201,44.3
21159,3928,37.3
21161,12832,40.3
21163,7050,35
21165,1960,40.6
21167,10616,41.7
21169,4461,40.7
21171,5916,42.1
21173,14157,38
21175,5185,38.6
21177,13120,40.9
21179,19782,37.7
21181,2619,40.5
21183,9602,39.1
21185,19260,39
21187,3678,40.1
21189,1549,42.2
21191,4299,39.5
21193,15827,40.2
21195,28901,40.3
21197,4582,38.7
21199,33422,41.1
21201,936,43.9
21203,5740,40.6
21205,13257,31.7
21207,8775,42.2
21209,28471,35
21211,20401,38.3
21213,11277,39.3
21215,3452,38.9
21217,13653,39.4
21219,5221,37.1
21221,5951,44.2
21223,2178,39.5
21225,7892,36.3
21227,65605,32.7
21229,5521,40.7
21231,9085,41.1
21233,5324,40.1
21235,15200,38.1
21237,2277,40.9
21239,15445,41
22000,2462439,35.8
22001,22924,35.7
22003,12422,37.4
22005,57877,34.3
22007,7467,38.9
22009,16178,38.1
22011,12890,36.6
22013,6095,41.8
22015,55741,34.7
22017,154603,36.4
22019,103138,35.9
22021,3851,39.6
22023,4470,39.9
22025,4241,38.8
22027,6318,40.7
22029,7625,37.7
22031,9311,39.7
22033,281703,32.6
22035,3180,34.3
22037,7657,41.1
22039,11070,35.9
22041,8992,38.8
22043,5231,36.8
22045,40070,35.6
22047,17256,37.9
22049,5612,39.6
22051,277488,38.4
22053,11764,37.7
22055,150629,33.2
22057,52470,36.5
22059,5309,37.9
22061,22544,27.8
22063,30912,34.4
22065,4854,34.6
22067,11045,39.1
22069,19282,33.3
22071,316165,34.6
22073,90164,34.1
22075,19779,36.3
22077,8419,41.4
22079,71718,36.9
22081,3327,38.8
22083,8034,37.6
22085,8233,40.7
22087,24385,32.9
22089,27554,36.5
22091,3973,39.5
22093,8776,37.9
22095,17208,35.5
22097,32153,36.8
22099,15069,36.3
22101,30967,37.5
22103,100660,39.3
22105,48846,33.6
22107,2432,42.5
22109,54303,35
22111,8210,41
22113,19989,36.4
22115,26739,29.6
22117,16707,38.7
22119,17089,40.3
22121,11750,35.8
22123,4128,39.4
22125,6944,41.9
22127,6499,39.5
23000,821344,42.7
23001,63560,39.8
23003,41391,45.3
23005,224644,41
23007,17761,43.4
23009,38058,46.3
23011,76816,42.8
23013,29072,46.2
23015,20052,48.1
23017,25594,44.6
23019,92322,39.9
23021,8693,48.1
23023,21991,44.1
23025,25668,43.6
23027,18220,44.1
23029,18995,46.1
23031,98507,43
24000,3270912,38
24001,38160,40.9
24003,335313,38.4
24005,487014,39.1
24009,31810,40.1
24011,13561,38.7
24013,77519,41.1
24015,37618,38.9
24017,56926,37.4
24019,17153,43.3
24021,121854,38.6
24023,19764,42.7
24025,108080,39.4
24027,174753,38.4
24029,12461,45.6
24031,626628,38.5
24033,422706,34.9
24035,20705,42.6
24037,56916,36
24039,11065,36.5
24041,27286,47.4
24043,76766,39.7
24045,55918,35.7
24047,33665,48.1
24510,407271,34.4
25000,4074096,39.1
25001,142928,49.9
25003,82441,44.7
25005,278678,39.8
25007,14091,45.3
25009,394495,40.4
25011,40453,44.2
25013,247715,38.6
25015,85348,36.6
25017,1027667,38.5
25019,9835,39.4
25021,419085,40.7
25023,249124,41.1
25025,666459,31.5
25027,415777,39.2
26000,5501814,38.9
26001,3841,55.2
26003,4222,47.3
26005,56189,39.2
26007,17433,45.6
26009,11248,47.4
26011,9157,46.7
26013,4429,42.9
26015,25203,41.2
26017,51558,41.7
26019,8633,46.2
26021,85735,41
26023,22032,39.8
26025,73277,39.2
26027,17275,42.6
26029,15024,45.5
26031,12933,47.1
26033,18872,39.5
26035,13672,45.3
26037,30425,38.4
26039,6852,47.7
26041,20529,45.6
26043,18160,45.4
26045,44324,40.3
26047,24058,43.1
26049,212829,38.5
26051,7284,47.7
26053,8303,46.8
26055,65575,41.3
26057,20824,38.7
26059,21809,40.5
26061,17931,33.1
26063,19489,46.8
26065,207550,31.4
26067,22801,37
26069,11187,51
26071,5653,51.9
26073,37853,25.1
26075,76648,39.7
26077,149906,34.1
26079,5608,43
26081,415305,34.4
26083,852,51.6
26085,3792,50.1
26087,34369,41.6
26089,9885,50.3
26091,43718,40
26093,73892,40.9
26095,2976,43
26097,6937,49
26099,410612,39.9
26101,11516,47.1
26103,35455,39.4
26105,15687,45.1
26107,18836,34
26109,11784,46.2
26111,45720,40.4
26113,5535,42.8
26115,59618,40.3
26117,25606,39.3
26119,3867,52.3
26121,84515,38.2
26123,17091,40.9
26125,922859,40.2
26127,11085,41.8
26129,9604,47.6
26131,3363,52.7
26133,8651,41.8
26135,3369,49.7
26137,15280,43.2
26139,140528,34.5
26141,5048,51.7
26143,9358,53.3
26145,113150,39.5
26147,68297,41.3
26149,29821,38.7
26151,18739,42.8
26153,3731,48.3
26155,24536,40.3
26157,18726,41.7
26159,28707,39.8
26161,243072,33.3
26163,980640,37.3
26165,19351,40.9
27000,3437346,37.4
27001,7737,51.7
27003,157055,37.1
27005,21946,42.2
27007,26179,33.2
27009,26033,34.1
27011,3263,48.5
27013,47343,29.8
27015,20014,43.3
27017,17871,40.5
27019,47710,36.3
27021,21257,46.9
27023,9368,43.1
27025,20681,39
27027,26149,31.6
27029,4715,41.9
27031,4239,49.8
27033,8513,44.2
27035,34392,42.4
27037,224025,36.8
27039,9726,36.4
27041,26010,43.1
27043,9168,46
27045,12523,42.8
27047,18605,44.2
27049,29819,41.9
27051,3706,46.5
27053,1027266,35.9
27055,9421,43.8
27057,8034,46.4
27059,20522,37.6
27061,22900,45.4
27063,7731,44.1
27065,7215,42.1
27067,29830,39.5
27069,2942,48.2
27071,7507,46.4
27073,4878,48.9
27075,6787,48.3
27077,2689,48.7
27079,14877,39.8
27081,3547,46.2
27083,19473,34.1
27085,23503,39.1
27087,3220,37.4
27089,5449,44.1
27091,14180,45.5
27093,13043,41.2
27095,12326,39.4
27097,17777,40.6
27099,21936,39.2
27101,5344,46.8
27103,17687,34.1
27105,14610,37.5
27107,4117,45.2
27109,109274,36.3
27111,34905,46.3
27113,11409,38.9
27115,11792,41.6
27117,6317,42.3
27119,17743,39.8
27121,6657,45.9
27123,400767,34.6
27125,1793,41.9
27127,10110,42.6
27129,9034,44.2
27131,30277,35
27133,5199,41.4
27135,12975,40.7
27137,119905,40.8
27139,53808,34.8
27141,32453,33.9
27143,6321,40.3
27145,97524,33.3
27147,25179,38.5
27149,6579,33.9
27151,6080,44.4
27153,11678,41.9
27155,2306,47.6
27157,10511,42.8
27159,8010,43.3
27161,11234,39.3
27163,93903,38.3
27165,6488,41.2
